gain,model,case,CPT,NRMS
L1,Actual,PC12,GLOBAL,0.003685280041569094
L1,Linear,PC12,CPT2,0.0074372934302328175
L1,Linear,PC12,CPT3,0.0031554471929836863
L1,Linear,PC12,CPT4,0.005064654917301484
L1,Linear,PC12,CPT5,0.005441317073916132
L1,Linear,PC12,CPT6,0.006155519338647741
L1,Linear,PC12,CPT7,0.003521836997942238
L1,Linear,PC12,CPT8,0.010068660721592014
L1,Linear,PC12,CPT9,0.0029407877482821717
L1,Linear,PC12,CPT10,0.004008329403977721
L1,Linear,PC12,CPT11,0.004996733391630541
L1,Linear,PC12,CPT12,0.002819124106593721
L1,Linear,PC12,CPT13,0.0029058098049694918
L1,Linear,PC12,CPT15,0.0023572740219059904
L1,Linear,PC12,CPT16,0.004403053936247462
L1,Linear,PC12,GLOBAL,0.004999433214433834
L1,Quadratic,PC12,CPT2,0.005601498325273944
L1,Quadratic,PC12,CPT3,0.0023406316144458754
L1,Quadratic,PC12,CPT4,0.004460002915883462
L1,Quadratic,PC12,CPT5,0.0037736827350805624
L1,Quadratic,PC12,CPT6,0.004274980294938306
L1,Quadratic,PC12,CPT7,0.0029554353277728034
L1,Quadratic,PC12,CPT8,0.008770546153629545
L1,Quadratic,PC12,CPT9,0.002319903584571229
L1,Quadratic,PC12,CPT10,0.002507010794068907
L1,Quadratic,PC12,CPT11,0.003983228576058502
L1,Quadratic,PC12,CPT12,0.0018728794693863074
L1,Quadratic,PC12,CPT13,0.003170887691450215
L1,Quadratic,PC12,CPT15,0.002927805998130736
L1,Quadratic,PC12,CPT16,0.004476456817581344
L1,Quadratic,PC12,GLOBAL,0.0040852703743727795
M1,Actual,PC12,CPT2,0.005053348481724526
M1,Actual,PC12,CPT3,0.001706631243398204
M1,Actual,PC12,CPT4,0.0033824969734074905
M1,Actual,PC12,CPT5,0.003200116735321255
M1,Actual,PC12,CPT6,0.0008657851899860364
M1,Actual,PC12,CPT7,0.0027812382717267814
M1,Actual,PC12,CPT8,0.0008135463241565026
M1,Actual,PC12,CPT9,0.0016012822096507175
M1,Actual,PC12,CPT10,0.0014597998295378762
M1,Actual,PC12,CPT11,0.0015489077274888985
M1,Actual,PC12,CPT12,0.0014914117519192935
M1,Actual,PC12,CPT13,0.0028361400317353843
M1,Actual,PC12,CPT15,0.002621327846796115
M1,Actual,PC12,CPT16,0.004707602145063974
M1,Actual,PC12,GLOBAL,0.0027567392794171554
M1,Linear,PC12,CPT2,0.008412663357828698
M1,Linear,PC12,CPT3,0.00235704908255986
M1,Linear,PC12,CPT4,0.0041305174237805916
M1,Linear,PC12,CPT5,0.0034654517421916155
M1,Linear,PC12,CPT6,0.0022863334609459947
M1,Linear,PC12,CPT7,0.00726664197538826
M1,Linear,PC12,CPT8,0.0009213324469398296
M1,Linear,PC12,CPT9,0.0035136859019613627
M1,Linear,PC12,CPT10,0.0017061207559789968
M1,Linear,PC12,CPT11,0.0024919768909496755
M1,Linear,PC12,CPT12,0.004967344006729079
M1,Linear,PC12,CPT13,0.004479250457985178
M1,Linear,PC12,CPT15,0.003535271741403746
M1,Linear,PC12,CPT16,0.004808720993905516
M1,Linear,PC12,GLOBAL,0.0044599774782129314
M1,Quadratic,PC12,CPT2,0.005728310589734924
M1,Quadratic,PC12,CPT3,0.002070826614786522
M1,Quadratic,PC12,CPT4,0.0034956274824703114
M1,Quadratic,PC12,CPT5,0.003331267266775673
M1,Quadratic,PC12,CPT6,0.0012853665865421849
M1,Quadratic,PC12,CPT7,0.002786050462612895
M1,Quadratic,PC12,CPT8,0.0009049424262884125
M1,Quadratic,PC12,CPT9,0.0020582805703232665
M1,Quadratic,PC12,CPT10,0.0015286903803131025
M1,Quadratic,PC12,CPT11,0.0016203232204557779
M1,Quadratic,PC12,CPT12,0.0016778721649156766
M1,Quadratic,PC12,CPT13,0.0028370593517077895
M1,Quadratic,PC12,CPT15,0.0038257423198850052
M1,Quadratic,PC12,CPT16,0.005573661169252129
M1,Quadratic,PC12,GLOBAL,0.0031151918880718095
H1,Actual,PC12,CPT2,0.0065879809882833365
H1,Actual,PC12,CPT3,0.002213152442254923
H1,Actual,PC12,CPT4,0.0026601536784746217
H1,Actual,PC12,CPT5,0.0030650425045980244
H1,Actual,PC12,CPT6,0.0019591447537672785
H1,Actual,PC12,CPT7,0.0032246282133063095
H1,Actual,PC12,CPT8,0.004579031409472217
H1,Actual,PC12,CPT9,0.001964174491563377
H1,Actual,PC12,CPT10,0.0015600853022863879
H1,Actual,PC12,CPT11,0.002337738484115949
H1,Actual,PC12,CPT12,0.0012636001007376634
H1,Actual,PC12,CPT13,0.004087900430018448
H1,Actual,PC12,CPT15,0.0018761929066736648
H1,Actual,PC12,CPT16,0.005049661467741938
H1,Actual,PC12,GLOBAL,0.0033555491855756683
H1,Linear,PC12,CPT2,0.008750765836010662
H1,Linear,PC12,CPT3,0.00310941404366241
H1,Linear,PC12,CPT4,0.0027010484296627825
H1,Linear,PC12,CPT5,0.0034631261399324293
H1,Linear,PC12,CPT6,0.00316525395276634
H1,Linear,PC12,CPT7,0.005375495071246002
H1,Linear,PC12,CPT8,0.004595393029087121
H1,Linear,PC12,CPT9,0.003852916708375523
H1,Linear,PC12,CPT10,0.002393479039408166
H1,Linear,PC12,CPT11,0.003345891656148912
H1,Linear,PC12,CPT12,0.001962758328714871
H1,Linear,PC12,CPT13,0.004540225257199468
H1,Linear,PC12,CPT15,0.0026986104817313464
H1,Linear,PC12,CPT16,0.005970142569051304
H1,Linear,PC12,GLOBAL,0.004355762427326707
H1,Quadratic,PC12,CPT2,0.007159413353553406
H1,Quadratic,PC12,CPT3,0.002481155801875842
H1,Quadratic,PC12,CPT4,0.002796171173566695
H1,Quadratic,PC12,CPT5,0.003165625542115547
H1,Quadratic,PC12,CPT6,0.0028838011966415508
H1,Quadratic,PC12,CPT7,0.0033812550671960483
H1,Quadratic,PC12,CPT8,0.004659378881700871
H1,Quadratic,PC12,CPT9,0.00313553046168863
H1,Quadratic,PC12,CPT10,0.0020045781228910935
H1,Quadratic,PC12,CPT11,0.004340007118591116
H1,Quadratic,PC12,CPT12,0.001382341087729644
H1,Quadratic,PC12,CPT13,0.004167048844916656
H1,Quadratic,PC12,CPT15,0.0022200817861539857
H1,Quadratic,PC12,CPT16,0.005592552448653243
H1,Quadratic,PC12,GLOBAL,0.0037877284822508315
L2,Actual,PC12,CPT2,0.004035927666383934
L2,Actual,PC12,CPT3,0.00162135664869324
L2,Actual,PC12,CPT4,0.0009864079759625943
L2,Actual,PC12,CPT5,0.0005920617968864335
L2,Actual,PC12,CPT6,0.0011131568078272037
L2,Actual,PC12,CPT7,0.001442204233038984
L2,Actual,PC12,CPT8,0.0014662609207600848
L2,Actual,PC12,CPT9,0.001513970077192725
L2,Actual,PC12,CPT10,0.0007221495803719174
L2,Actual,PC12,CPT11,0.0018797782171912439
L2,Actual,PC12,CPT12,0.0017041386661957772
L2,Actual,PC12,CPT13,0.002801797337512406
L2,Actual,PC12,CPT15,0.001729166968592427
L2,Actual,PC12,CPT16,0.0013525610573524379
